recommendation_id,game,playtime_at_review_hours,game_q75,high_playtime,review_word_count,log_review_words,combat,challenge,progression,exploration,narrative,immersion,steam_purchase,received_for_free
229388524,Cyberpunk 2077,9.2833,138.225025,0,14,2.708050201,0,0,1,0,1,0,1,1
229386700,Cyberpunk 2077,80.4167,138.225025,0,76,4.343805422,0,0,0,0,0,0,1,0
229385208,Cyberpunk 2077,110.4,138.225025,0,141,4.955827058,0,0,0,0,1,0,1,0
229384437,Cyberpunk 2077,68.0167,138.225025,0,64,4.17438727,0,0,0,0,0,0,1,0
229382032,Cyberpunk 2077,24.25,138.225025,0,19,2.995732274,0,0,0,0,1,1,1,0
229381627,Cyberpunk 2077,279.1333,138.225025,1,29,3.401197382,0,0,0,0,0,0,1,1
229381541,Cyberpunk 2077,64.9667,138.225025,0,18,2.944438979,0,0,0,0,0,0,1,0
229381259,Cyberpunk 2077,75.8,138.225025,0,16,2.833213344,0,0,0,0,1,0,1,0
229380918,Cyberpunk 2077,76.15,138.225025,0,58,4.077537444,1,0,0,0,1,1,1,0
229380128,Cyberpunk 2077,68.75,138.225025,0,17,2.890371758,0,0,0,0,0,0,1,0
229380104,Cyberpunk 2077,474.05,138.225025,1,108,4.691347882,0,0,0,0,1,0,1,0
229379952,Cyberpunk 2077,21.4833,138.225025,0,39,3.688879454,0,0,0,0,0,0,1,0
229376371,Cyberpunk 2077,92.1667,138.225025,0,28,3.36729583,0,0,0,0,0,0,1,0
229376065,Cyberpunk 2077,38.05,138.225025,0,11,2.48490665,0,0,0,0,0,0,1,0
229373969,Cyberpunk 2077,45.7833,138.225025,0,62,4.143134726,0,0,0,1,1,0,1,0
229373747,Cyberpunk 2077,54.6,138.225025,0,23,3.17805383,0,0,0,0,1,0,1,0
229371680,Cyberpunk 2077,43.4333,138.225025,0,21,3.091042453,0,0,0,0,1,0,1,0
229371596,Cyberpunk 2077,1057,138.225025,1,98,4.59511985,0,0,0,0,1,0,0,0
229371224,Cyberpunk 2077,48.3333,138.225025,0,161,5.087596335,0,0,0,1,0,0,1,0
229370741,Cyberpunk 2077,2.9333,138.225025,0,11,2.48490665,0,0,0,0,0,0,1,0
229369960,Cyberpunk 2077,62.5,138.225025,0,12,2.564949357,0,0,0,0,0,0,1,0
229369706,Cyberpunk 2077,35.05,138.225025,0,84,4.442651256,0,0,0,0,0,1,1,0
229369269,Cyberpunk 2077,52.8833,138.225025,0,16,2.833213344,0,0,0,0,0,0,1,0
229368074,Cyberpunk 2077,23.65,138.225025,0,19,2.995732274,0,0,0,0,0,0,1,0
229367520,Cyberpunk 2077,4.5,138.225025,0,35,3.583518938,0,0,1,0,1,0,1,0
229367454,Cyberpunk 2077,4.7333,138.225025,0,19,2.995732274,0,0,0,0,1,0,1,0
229366354,Cyberpunk 2077,316.5833,138.225025,1,46,3.850147602,0,0,0,0,1,1,1,0
229365923,Cyberpunk 2077,223.8833,138.225025,1,73,4.304065093,1,0,0,0,1,0,1,0
229365311,Cyberpunk 2077,24.2167,138.225025,0,19,2.995732274,0,0,0,0,0,0,1,0
229365206,Cyberpunk 2077,31.5333,138.225025,0,21,3.091042453,0,0,0,0,0,0,1,0
229364987,Cyberpunk 2077,25.6333,138.225025,0,12,2.564949357,0,0,0,0,0,0,1,0
229363115,Cyberpunk 2077,65.4833,138.225025,0,81,4.406719247,0,0,0,0,0,0,1,0
229362433,Cyberpunk 2077,59.2,138.225025,0,31,3.465735903,0,0,0,0,0,0,1,0
229362410,Cyberpunk 2077,27.4333,138.225025,0,15,2.772588722,0,0,0,0,0,0,1,0
229361361,Cyberpunk 2077,47.8833,138.225025,0,141,4.955827058,1,1,0,0,1,0,1,0
229359833,Cyberpunk 2077,164.0667,138.225025,1,242,5.493061443,1,0,1,0,1,1,1,0
229359610,Cyberpunk 2077,33.4833,138.225025,0,10,2.397895273,1,0,0,0,1,0,1,0
229358678,Cyberpunk 2077,510.1167,138.225025,1,49,3.912023005,0,0,0,0,1,0,1,0
229357636,Cyberpunk 2077,218.2667,138.225025,1,46,3.850147602,0,0,1,1,0,0,1,0
229356355,Cyberpunk 2077,132.4667,138.225025,0,696,6.546785411,1,1,1,0,1,1,1,0
229355566,Cyberpunk 2077,4.8667,138.225025,0,31,3.465735903,0,0,0,0,1,0,1,0
229353758,Cyberpunk 2077,20.1833,138.225025,0,15,2.772588722,0,0,0,0,0,1,1,0
229353370,Cyberpunk 2077,34.7333,138.225025,0,113,4.736198448,0,0,0,0,1,0,0,0
229352390,Cyberpunk 2077,8.3333,138.225025,0,15,2.772588722,0,0,0,0,0,0,1,0
229351849,Cyberpunk 2077,86.7167,138.225025,0,22,3.135494216,0,0,0,0,0,0,1,0
229351740,Cyberpunk 2077,31.55,138.225025,0,18,2.944438979,0,0,0,0,0,0,1,0
229350669,Cyberpunk 2077,73.6333,138.225025,0,295,5.690359454,0,0,0,0,1,1,1,0
229348244,Cyberpunk 2077,14.4833,138.225025,0,71,4.276666119,0,1,0,0,1,0,1,0
229345486,Cyberpunk 2077,26.8,138.225025,0,11,2.48490665,1,0,0,0,0,0,0,1
229343546,Cyberpunk 2077,18.3833,138.225025,0,13,2.63905733,0,0,0,0,0,0,1,0
229342703,Cyberpunk 2077,66.9833,138.225025,0,20,3.044522438,0,0,0,0,0,1,1,0
229341464,Cyberpunk 2077,25.2667,138.225025,0,10,2.397895273,0,0,0,0,0,0,1,0
229341140,Cyberpunk 2077,64.2,138.225025,0,15,2.772588722,0,0,0,0,0,0,1,0
229341051,Cyberpunk 2077,53.2167,138.225025,0,90,4.510859507,1,0,0,0,1,0,0,0
229340295,Cyberpunk 2077,122.4667,138.225025,0,321,5.774551546,1,0,1,1,1,0,1,0
